file ; preprocess ; preprocesstime ; abs ; abstime ; solver ; result ; solvetime
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavaoldhinted1 ; 0:00.02  ; dataabs2 ; 0:00.03  ; 120sz3 ; unsat      ; 0:00.11 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavaoldhinted1 ; 0:00.02  ; dataabs2acker ; 0:00.04  ; 120sz3 ; unsat      ; 0:00.09 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavaoldhinted1 ; 0:00.02  ; dataabs2c2 ; 0:00.45  ; 120sz3 ; timeout solver      ; 2:00.00 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavaoldhinted1 ; 0:00.02  ; dataabs2c2acker ; 0:00.88  ; 120sz3 ; timeout solver      ; 2:00.59 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavaoldhinted1 ; 0:00.02  ; noabs ; 0:00.01  ; 120sz3 ; unsat      ; 0:00.07 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavaoldhinted2 ; 0:00.02  ; 120sdatabs ; 0:01.20  ; 120sz3 ; unsat      ; 0:00.07 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavaoldhinted2 ; 0:00.02  ; 120sdatabsacker ; 0:01.20  ; 120sz3 ; unsat      ; 0:00.09 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavaoldhinted2 ; 0:00.02  ; 30svaphor ; 0:00.01  ; 120sz3 ; unsat      ; 0:00.08 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavaoldhinted2 ; 0:00.02  ; dataabs2 ; 0:00.02  ; 120sz3 ; unsat      ; 0:00.16 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavaoldhinted2 ; 0:00.02  ; dataabs2acker ; 0:00.05  ; 120sz3 ; unsat      ; 0:00.07 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavaoldhinted2 ; 0:00.02  ; dataabs2c2 ; 0:00.66  ; 120sz3 ; timeout solver      ; 2:00.00 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavaoldhinted2 ; 0:00.02  ; dataabs2c2acker ; 0:00.87  ; 120sz3 ; timeout solver      ; 2:00.54 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavaoldhinted2 ; 0:00.02  ; noabs ; 0:00.00  ; 120sz3 ; unsat      ; 0:00.06 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjava ; 0:00.00  ; 120sdatabs ; 0:00.72  ; 120sz3 ; unsat      ; 0:00.11 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjava ; 0:00.00  ; 120sdatabsacker ; 0:00.73  ; 120sz3 ; unsat      ; 0:00.09 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjava ; 0:00.00  ; 30svaphor ; 0:00.00  ; 120sz3 ; unsat      ; 0:00.11 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjava ; 0:00.00  ; dataabs2 ; 0:00.03  ; 120sz3 ; unsat      ; 0:00.11 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjava ; 0:00.00  ; dataabs2acker ; 0:00.06  ; 120sz3 ; unsat      ; 0:00.19 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjava ; 0:00.00  ; dataabs2c2 ; 0:00.09  ; 120sz3 ; timeout solver      ; 2:00.00 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjava ; 0:00.00  ; noabs ; 0:00.00  ; 120sz3 ; unsat      ; 0:00.09 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjava1 ; 0:00.01  ; 120sdatabs ; 0:00.72  ; 120sz3 ; unsat      ; 0:00.11 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjava1 ; 0:00.01  ; 120sdatabsacker ; 0:00.72  ; 120sz3 ; unsat      ; 0:00.09 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjava1 ; 0:00.01  ; 30svaphor ; 0:00.01  ; 120sz3 ; unsat      ; 0:00.12 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjava1 ; 0:00.01  ; dataabs2 ; 0:00.02  ; 120sz3 ; unsat      ; 0:00.11 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjava1 ; 0:00.01  ; dataabs2acker ; 0:00.06  ; 120sz3 ; unsat      ; 0:00.10 
