file ; preprocess ; preprocesstime ; abs ; abstime ; solver ; result ; solvetime
ModifiedSAS16exp/buggy/esop2010_array_reverse_buggy ; 10scvjavahinted1 ; 0:00.00  ; 120sdatabsacker ; 0:01.46  ; 30sz3 ; unsat      ; 0:00.08 
ModifiedSAS16exp/buggy/esop2010_array_reverse_buggy ; 10scvjavahinted1 ; 0:00.00  ; 30svaphor ; 0:00.01  ; 30sz3 ; unsat      ; 0:00.09 
ModifiedSAS16exp/buggy/esop2010_array_reverse_buggy ; 10scvjavahinted1 ; 0:00.00  ; noabs ; 0:00.00  ; 30sz3 ; unsat      ; 0:00.07 
ModifiedSAS16exp/buggy/esop2010_array_reverse_buggy ; 10scvjavahinted2 ; 0:00.01  ; 120sdatabs ; 0:01.41  ; 30sz3 ; unsat      ; 0:00.08 
ModifiedSAS16exp/buggy/esop2010_array_reverse_buggy ; 10scvjavahinted2 ; 0:00.01  ; 120sdatabsacker ; 0:01.44  ; 30sz3 ; unsat      ; 0:00.07 
ModifiedSAS16exp/buggy/esop2010_array_reverse_buggy ; 10scvjavahinted2 ; 0:00.01  ; 30svaphor ; 0:00.00  ; 30sz3 ; unsat      ; 0:00.08 
ModifiedSAS16exp/buggy/esop2010_array_reverse_buggy ; 10scvjavahinted2 ; 0:00.01  ; noabs ; 0:00.01  ; 30sz3 ; unsat      ; 0:00.06 
ModifiedSAS16exp/buggy/esop2010_array_reverse_buggy ; 10scvjavaoldhinted ; 0:00.01  ; 120sdatabs ; 0:01.39  ; 30sz3 ; unsat      ; 0:00.14 
ModifiedSAS16exp/buggy/esop2010_array_reverse_buggy ; 10scvjavaoldhinted ; 0:00.01  ; 120sdatabsacker ; 0:01.44  ; 30sz3 ; unsat      ; 0:00.08 
ModifiedSAS16exp/buggy/esop2010_array_reverse_buggy ; 10scvjavaoldhinted ; 0:00.01  ; 30svaphor ; 0:00.00  ; 30sz3 ; unsat      ; 0:00.13 
ModifiedSAS16exp/buggy/esop2010_array_reverse_buggy ; 10scvjavaoldhinted ; 0:00.01  ; noabs ; 0:00.00  ; 30sz3 ; unsat      ; 0:00.07 
ModifiedSAS16exp/buggy/esop2010_array_reverse_buggy ; 10scvjavaoldhinted1 ; 0:00.01  ; 120sdatabs ; 0:01.41  ; 30sz3 ; unsat      ; 0:00.03 
